Compte	Intitulé	Nature	
52110000	Banque X	BQE	
52120000	Banque Y	BQE	
52200000	Banques autres États région	BQE	
52300000	Banques autres États zone monétaire	BQE	
52400000	Banques hors zone monétaire	BQE	
52600000	Banques, intérêts courus	BQE	
53100000	Chèques postaux	BQE	
53200000	Trésor	BQE	
53300000	Sociétés de gestion et d'intermédiation (SGI)	BQE	
53600000	Établissements financiers, intérêts courus	BQE	
53800000	Autres organismes financiers	BQE	
54100000	Options de taux d'intérêt	BQE	
54200000	Options de taux de change	BQE	
54300000	Options de taux boursiers	BQE	
54400000	Instruments de marchés à terme	BQE	
54500000	Avoirs d'or et autres métaux précieux	BQE	
56100000	Crédits de trésorerie	BQE	
56400000	Escompte de crédits de campagne	BQE	
56500000	Escompte de crédits ordinaires	BQE	
56600000	Banques, crédits de trésorerie, intérêts courus	BQE	
57100000	Caisse siège social	CAI	
57110000	Caisse siège social en unités monétaires légales	CAI	
57120000	Caisse siège social en devises	CAI	
57200000	Caisse succursale A	CAI	
57210000	Caisse succursale A en unités monétaires légales	CAI	
57220000	Caisse succursale A en devises	CAI	
57300000	Caisse succursale B	CAI	
57310000	Caisse succursale B en unités monétaires légales	CAI	
57320000	Caisse succursale B en devises	CAI	
58100000	Régies d'avance	BQE	
58200000	Accréditifs	BQE	
58500000	Virements de fonds	BQE	
58800000	Autres virements internes	BQE	
59000000	Dépréciations des titres de placement	BQE	
59100000	Dépréciations des titres et valeurs à encaisser	BQE	
59200000	Dépréciations des comptes banques	BQE	
59300000	Dépréciations des comptes établissements financiers et assim	BQE	
59400000	Dépréciations des comptes d'instruments de trésorerie	BQE	
59900000	Risques provisionnés à caractère financier	BQE	
60100000	Achats de marchandises	CHA	
60110000	Achats de marchandises dans la Région	CHA	
60120000	Achats de marchandises hors Région	CHA	
60130000	Achats de marchandises aux entreprises du groupe dans la Rég	CHA	
60140000	Achats de marchandises aux entreprises du groupe hors Région	CHA	
60190000	Rabais, Remises et Ristournes obtenus sur marchandises (non 	CHA	
60200000	Achats de matières premières et fournitures liées	CHA	
60210000	Achats matières premières dans la Région	CHA	
60220000	Achats matières premières hors Région	CHA	
60230000	Achats matières premières aux entreprises du groupe dans la 	CHA	
60240000	Achats matières premières aux entreprises du groupe hors Rég	CHA	
60290000	Rabais, Remises et Ristournes obtenus sur matières premières	CHA	
60300000	Variations des stocks de biens achetés	CHA	
60310000	Variations des stocks de marchandises	CHA	
60320000	Variations des stocks de matières premières et fournitures l	CHA	
60330000	Variations des stocks d'autres approvisionnements	CHA	
60400000	Achats stockés de matières et fournitures consommables	CHA	
60410000	Matières consommables	CHA	
60420000	Matières combustibles	CHA	
60430000	Produits d'entretien	CHA	
60440000	Fournitures d'atelier et d'usine	CHA	
60460000	Fournitures de magasin	CHA	
60470000	Fournitures de bureau (achats stockés)	CHA	
60490000	Rabais, Remises et Ristournes obtenus (matières et fournitur	CHA	
60500000	Autres achats	CHA	
60510000	Fournitures non stockables - Eau	CHA	
60520000	Fournitures non stockables - Électricité	CHA	
60530000	Fournitures non stockables - Autres énergies	CHA	
60540000	Fournitures d'entretien non stockables	CHA	
60550000	Fournitures de bureau non stockables	CHA	
60560000	Achats de petit matériel et outillage	CHA	
60570000	Achats d'études et prestations de services	CHA	
60580000	Achats de travaux, matériels et équipements	CHA	
60590000	Rabais, Remises et Ristournes obtenus (autres achats)	CHA	
60800000	Achats d'emballages	CHA	
60810000	Emballages perdus (achats)	CHA	
60820000	Emballages récupérables non identifiables (achats)	CHA	
60830000	Emballages à usage mixte (achats)	CHA	
60890000	Rabais, Remises et Ristournes obtenus (emballages)	CHA	
61100000	Transports sur achats	CHA	
61200000	Transports sur ventes	CHA	
61300000	Transports pour le compte de tiers	CHA	
61400000	Transports du personnel	CHA	
61600000	Transports de plis	CHA	
61800000	Autres frais de transport	CHA	
61810000	Voyages et déplacements	CHA	
61820000	Transports entre établissements ou chantiers	CHA	
61830000	Transports administratifs	CHA	
62100000	Sous-traitance générale	CHA	
62200000	Locations et charges locatives	CHA	
62210000	Locations de terrains	CHA	
62220000	Locations de bâtiments	CHA	
62230000	Locations de matériels et outillages	CHA	
62240000	Malis sur emballages	CHA	
62250000	Locations d'emballages	CHA	
62280000	Locations et charges locatives diverses	CHA	
62300000	Redevances de crédit-bail et contrats assimilés	CHA	
62320000	Crédit-bail immobilier	CHA	
62330000	Crédit-bail mobilier	CHA	
62350000	Contrats assimilés (crédit-bail)	CHA	
62400000	Entretien, réparations et maintenance	CHA	
62410000	Entretien et réparations des biens immobiliers	CHA	
62420000	Entretien et réparations des biens mobiliers	CHA	
62430000	Maintenance	CHA	
62480000	Autres entretiens et réparations	CHA	
62500000	Primes d'assurance	CHA	
62510000	Assurances multirisques	CHA	
62520000	Assurances matériel de transport	CHA	
62530000	Assurances risques d'exploitation	CHA	
62540000	Assurances responsabilité du producteur	CHA	
62550000	Assurances insolvabilité clients	CHA	
62560000	Assurances transport sur achats	CHA	
62570000	Assurances transport sur ventes	CHA	
62580000	Autres primes d'assurances	CHA	
62600000	Études, recherches et documentation	CHA	
62610000	Études et recherches	CHA	
62650000	Documentation générale	CHA	
62660000	Documentation technique	CHA	
62700000	Publicité, publications, relations publiques	CHA	
62710000	Annonces, insertions	CHA	
62720000	Catalogues, imprimés publicitaires	CHA	
62730000	Échantillons	CHA	
62740000	Foires et expositions	CHA	
62750000	Publications	CHA	
62760000	Cadeaux à la clientèle	CHA	
62770000	Frais de colloques, séminaires, conférences	CHA	
62780000	Autres charges de publicité et relations publiques	CHA	
62800000	Frais de télécommunications	CHA	
62810000	Frais de téléphone	CHA	
62820000	Frais de télex	CHA	
62830000	Frais de télécopie	CHA	
62880000	Autres frais de télécommunications	CHA	
63100000	Frais bancaires	CHA	
63110000	Frais sur titres (achat, vente, garde)	CHA	
63120000	Frais sur effets	CHA	
63130000	Location de coffres	CHA	
63150000	Commissions sur cartes de crédit	CHA	
63160000	Frais d'émission d'emprunts	CHA	
63180000	Autres frais bancaires	CHA	
63200000	Rémunérations d'intermédiaires et de conseils	CHA	
63210000	Commissions et courtages sur achats	CHA	
63220000	Commissions et courtages sur ventes	CHA	
63230000	Rémunérations des transitaires	CHA	
63240000	Honoraires	CHA	
63250000	Frais d'actes et de contentieux	CHA	
63280000	Divers frais (intermédiaires et conseils)	CHA	
63300000	Frais de formation du personnel	CHA	
63400000	Redevances pour brevets, licences, logiciels et droits simil	CHA	
63420000	Redevances pour brevets, licences, concessions et droits sim	CHA	
63430000	Redevances pour logiciels	CHA	
63440000	Redevances pour marques	CHA	
63500000	Cotisations	CHA	
63510000	Cotisations	CHA	
63580000	Concours divers	CHA	
63700000	Rémunérations de personnel extérieur à l'entreprise	CHA	
63710000	Personnel intérimaire	CHA	
63720000	Personnel détaché ou prêté à l'entreprise	CHA	
63800000	Autres charges externes	CHA	
63810000	Frais de recrutement du personnel	CHA	
63820000	Frais de déménagement	CHA	
63830000	Réceptions	CHA	
63840000	Missions	CHA	
64100000	Impôts et taxes directs	CHA	
64110000	Impôts fonciers et taxes annexes	CHA	
64120000	Patentes, licences et taxes annexes	CHA	
64130000	Taxes sur appointements et salaires	CHA	
64140000	Taxes d'apprentissage	CHA	
64150000	Formation professionnelle continue	CHA	
64180000	Autres impôts et taxes directs	CHA	
64500000	Impôts et taxes indirects	CHA	
64600000	Droits d'enregistrement	CHA	
64610000	Droits de mutation	CHA	
64620000	Droits de timbre	CHA	
64630000	Taxes sur les véhicules de société	CHA	
64640000	Vignettes	CHA	
64680000	Autres droits d'enregistrement	CHA	
64700000	Pénalités et amendes fiscales	CHA	
64710000	Pénalités d'assiette, impôts directs	CHA	
64720000	Pénalités d'assiette, impôts indirects	CHA	
64730000	Pénalités de recouvrement, impôts directs	CHA	
64740000	Pénalités de recouvrement, impôts indirects	CHA	
64780000	Autres amendes pénales et fiscales	CHA	
64800000	Autres impôts et taxes	CHA	
65100000	Pertes sur créances clients et autres débiteurs	CHA	
65110000	Clients (pertes sur créances)	CHA	
65150000	Autres débiteurs (pertes sur créances)	CHA	
65200000	Quote-part de résultat sur opérations faites en commun	CHA	
65210000	Quote-part transférée de bénéfices (comptabilité du gérant)	CHA	
65250000	Pertes imputées par transfert (comptabilité des associés non	CHA	
65300000	Quote-part de résultat annulée sur exécution partielle de co	CHA	
65400000	Valeur comptable des cessions courantes d'immobilisations	CHA	
65800000	Charges diverses	CHA	
65810000	Jetons de présence et autres rémunérations d'administrateurs	CHA	
65820000	Dons	CHA	
65830000	Mécénat	CHA	
65900000	Charges provisionnées d'exploitation	CHA	
65910000	Sur risques à court terme	CHA	
65930000	Sur stocks	CHA	
65940000	Sur créances	CHA	
65980000	Autres charges provisionnées	CHA	
66100000	Rémunérations directes versées au personnel national	CHA	
66110000	Appointements salaires et commissions (personnel national)	CHA	
66120000	Primes et gratifications (personnel national)	CHA	
66130000	Congés payés (personnel national)	CHA	
66140000	Indemnités de préavis, de licenciement et de recherche d'emb	CHA	
66150000	Indemnités de maladie versées aux travailleurs (national)	CHA	
66160000	Supplément familial (national)	CHA	
66170000	Avantages en nature (national)	CHA	
66180000	Autres rémunérations directes (national)	CHA	
66200000	Rémunérations directes versées au personnel non national	CHA	
66210000	Appointements salaires et commissions (personnel non nationa	CHA	
66220000	Primes et gratifications (personnel non national)	CHA	
66230000	Congés payés (personnel non national)	CHA	
66240000	Indemnités de préavis, de licenciement et de recherche d'emb	CHA	
66250000	Indemnités de maladie versées aux travailleurs (non national	CHA	
66260000	Supplément familial (non national)	CHA	
66270000	Avantages en nature (non national)	CHA	
66280000	Autres rémunérations directes (non national)	CHA	
66300000	Indemnités forfaitaires versées au personnel	CHA	
66310000	Indemnités de logement	CHA	
66320000	Indemnités de représentation	CHA	
66330000	Indemnités d'expatriation	CHA	
66380000	Autres indemnités et avantages divers	CHA	
66400000	Charges sociales	CHA	
66410000	Charges sociales sur rémunération du personnel national	CHA	
66420000	Charges sociales sur rémunération du personnel non national	CHA	
66600000	Rémunérations et charges sociales de l'exploitant individuel	CHA	
66610000	Rémunération du travail de l'exploitant	CHA	
66620000	Charges sociales (exploitant individuel)	CHA	
66700000	Rémunération transférée de personnel extérieur	CHA	
66710000	Personnel intérimaire (rémunération transférée)	CHA	
66720000	Personnel détaché ou prêté à l'entreprise (rémunération tran	CHA	
66800000	Autres charges sociales	CHA	
66810000	Versements aux syndicats et comités d'entreprise, d'établiss	CHA	
66820000	Versements aux comités d'hygiène et de sécurité	CHA	
66830000	Versements aux autres œuvres sociales	CHA	
66840000	Médecine du travail et pharmacie	CHA	
67100000	Intérêts des emprunts	CHA	
67110000	Emprunts obligataires (intérêts)	CHA	
67120000	Emprunts auprès des établissements de crédit (intérêts)	CHA	
67130000	Dettes liées à des participations (intérêts)	CHA	
67200000	Intérêts dans loyers de crédit-bail et contrats assimilés	CHA	
67210000	Intérêts dans loyers de crédit-bail immobilier	CHA	
67220000	Intérêts dans loyers de crédit-bail mobilier	CHA	
67230000	Intérêts dans loyers des autres contrats	CHA	
67300000	Escomptes accordés	CHA	
67400000	Autres intérêts	CHA	
67410000	Avances reçues et dépôts créditeurs (autres intérêts)	CHA	
67420000	Comptes courants bloqués (autres intérêts)	CHA	
67430000	Intérêts sur obligations cautionnées	CHA	
67440000	Intérêts sur dettes commerciales	CHA	
67450000	Intérêts bancaires et sur opérations de trésorerie et d'esco	CHA	
67480000	Intérêts sur dettes diverses	CHA	
67500000	Escomptes des effets de commerce	CHA	
67600000	Pertes de change	CHA	
67700000	Pertes sur cessions de titres de placement	CHA	
67800000	Pertes sur risques financiers	CHA	
67810000	Sur rentes viagères	CHA	
67820000	Sur opérations financières	CHA	
67840000	Sur instruments de trésorerie	CHA	
67900000	Charges provisionnées financières	CHA	
67910000	Sur risques financiers	CHA	
67950000	Sur titres de placement	CHA	
67980000	Autres charges provisionnées financières	CHA	
68100000	Dotations aux amortissements d'exploitation	CHA	
68110000	Dotations aux amortissements des charges immobilisées	CHA	
68120000	Dotations aux amortissements des immobilisations incorporell	CHA	
68130000	Dotations aux amortissements des immobilisations corporelles	CHA	
68700000	Dotations aux amortissements à caractère financier	CHA	
68720000	Dotations aux amortissements des primes de remboursement des	CHA	
68780000	Autres dotations aux amortissements à caractère financier	CHA	
69100000	Dotations aux provisions d'exploitation	CHA	
69110000	Pour risques et charges (dotations provisions d'exploitation	CHA	
69120000	Pour grosses réparations	CHA	
69130000	Pour dépréciation des immobilisations incorporelles	CHA	
69140000	Pour dépréciation des immobilisations corporelles	CHA	
69700000	Dotations aux provisions financières	CHA	
69710000	Pour risques et charges (dotations provisions financières)	CHA	
69720000	Pour dépréciation des immobilisations financières	CHA	
70100000	Ventes de marchandises	PRO	
70110000	Ventes de marchandises dans la Région	PRO	
70120000	Ventes de marchandises hors Région	PRO	
70130000	Ventes de marchandises aux entreprises du groupe dans la Rég	PRO	
70140000	Ventes de marchandises aux entreprises du groupe hors Région	PRO	
70200000	Ventes de produits finis	PRO	
70210000	Ventes de produits finis dans la Région	PRO	
70220000	Ventes de produits finis hors Région	PRO	
70230000	Ventes de produits finis aux entreprises du groupe dans la R	PRO	
70240000	Ventes de produits finis aux entreprises du groupe hors Régi	PRO	
70300000	Ventes de produits intermédiaires	PRO	
70310000	Ventes de produits intermédiaires dans la Région	PRO	
70320000	Ventes de produits intermédiaires hors Région	PRO	
70330000	Ventes de produits intermédiaires aux entreprises du groupe 	PRO	
70340000	Ventes de produits intermédiaires aux entreprises du groupe 	PRO	
70400000	Ventes de produits résiduels	PRO	
70410000	Ventes de produits résiduels dans la Région	PRO	
70420000	Ventes de produits résiduels hors Région	PRO	
70430000	Ventes de produits résiduels aux entreprises du groupe dans 	PRO	
70440000	Ventes de produits résiduels aux entreprises du groupe hors 	PRO	
70500000	Travaux facturés	PRO	
70510000	Travaux facturés dans la Région	PRO	
70520000	Travaux facturés hors Région	PRO	
70530000	Travaux facturés aux entreprises du groupe dans la Région	PRO	
70540000	Travaux facturés aux entreprises du groupe hors Région	PRO	
70600000	Services vendus	PRO	
70610000	Services vendus dans la Région	PRO	
70620000	Services vendus hors Région	PRO	
70630000	Services vendus aux entreprises du groupe dans la Région	PRO	
70640000	Services vendus aux entreprises du groupe hors Région	PRO	
70700000	Produits accessoires	PRO	
70710000	Ports, emballages perdus et autres frais facturés	PRO	
70720000	Commissions et courtages	PRO	
70730000	Locations	PRO	
70740000	Bonis sur reprises et cessions d'emballages	PRO	
70750000	Mise à disposition de personnel	PRO	
70760000	Redevances pour brevets, logiciels, marques et droits simila	PRO	
70770000	Services exploités dans l'intérêt du personnel	PRO	
70780000	Autres produits accessoires	PRO	
71100000	Subventions d'exploitation sur produits à l'exportation	PRO	
71200000	Subventions d'exploitation sur produits à l'importation	PRO	
71300000	Subventions d'exploitation sur produits de péréquation	PRO	
71800000	Autres subventions d'exploitation	PRO	
71810000	Versées par l'État et les collectivités publiques	PRO	
71820000	Versées par les organismes internationaux	PRO	
71830000	Versées par des tiers	PRO	
72100000	Production immobilisée - Immobilisations incorporelles	PRO	
72200000	Production immobilisée - Immobilisations corporelles	PRO	
72600000	Production immobilisée - Immobilisations financières	PRO	
73400000	Variations des stocks de produits en cours	PRO	
73410000	Produits en cours (variations)	PRO	
73420000	Travaux en cours (variations)	PRO	
73500000	Variations des en-cours de services	PRO	
73510000	Études en cours (variations)	PRO	
73520000	Prestations de services en cours (variations)	PRO	
73600000	Variations des stocks de produits finis	PRO	
73700000	Variations des stocks de produits intermédiaires et résiduel	PRO	
73710000	Produits intermédiaires (variations)	PRO	
73720000	Produits résiduels (variations)	PRO	
75200000	Quote-part de résultat sur opérations faites en commun (prod	PRO	
75210000	Quote-part transférée de pertes (comptabilité du gérant)	PRO	
75250000	Bénéfices attribués par transfert (comptabilité des associés	PRO	
75300000	Quote-part de résultat sur exécution partielle de contrats p	PRO	
75400000	Produits des cessions courantes d'immobilisations	PRO	
75800000	Produits divers	PRO	
75810000	Jetons de présence et autres rémunérations d'administrateurs	PRO	
75820000	Indemnités d'assurances reçues	PRO	
75900000	Reprises de charges provisionnées d'exploitation	PRO	
75910000	Sur risques à court terme (reprises)	PRO	
75930000	Sur stocks (reprises)	PRO	
75940000	Sur créances (reprises)	PRO	
75980000	Sur autres charges provisionnées (reprises)	PRO	
77100000	Intérêts de prêts	PRO	
77200000	Revenus de participations	PRO	
77300000	Escomptes obtenus	PRO	
77400000	Revenus de titres de placement	PRO	
77600000	Gains de change	PRO	
77700000	Gains sur cessions de titres de placement	PRO	
77800000	Gains sur risques financiers	PRO	
77810000	Sur rentes viagères (gains)	PRO	
77820000	Sur opérations financières (gains)	PRO	
77840000	Sur instruments de trésorerie (gains)	PRO	
77900000	Reprises de charges provisionnées financières	PRO	
77910000	Sur risques financiers (reprises financières)	PRO	
77950000	Sur titres de placement (reprises financières)	PRO	
77980000	Autres charges provisionnées financières (reprises)	PRO	
78100000	Transferts de charges d'exploitation	PRO	
78700000	Transferts de charges financières	PRO	
79100000	Reprises de provisions d'exploitation	PRO	
79110000	Pour risques et charges (reprises provisions d'exploitation)	PRO	
79120000	Pour grosses réparations (reprises)	PRO	
79130000	Pour dépréciation des immobilisations incorporelles (reprise	PRO	
79140000	Pour dépréciation des immobilisations corporelles (reprises)	PRO	
79700000	Reprises de provisions financières	PRO	
79710000	Pour risques et charges (reprises provisions financières)	PRO	
79720000	Pour dépréciation des immobilisations financières (reprises)	PRO	
79800000	Reprises d'amortissements	PRO	
81100000	Valeurs comptables des cessions - Immobilisations incorporel	DIV	
81200000	Valeurs comptables des cessions - Immobilisations corporelle	DIV	
81600000	Valeurs comptables des cessions - Immobilisations financière	DIV	
82100000	Produits des cessions d'immobilisations incorporelles	DIV	
82200000	Produits des cessions d'immobilisations corporelles	DIV	
82600000	Produits des cessions d'immobilisations financières	DIV	
83100000	Charges HAO constatées	DIV	
83400000	Pertes sur créances HAO	DIV	
83500000	Dons et libéralités accordés	DIV	
83600000	Abandons de créances consentis	DIV	
83900000	Charges provisionnées HAO	DIV	
84100000	Produits HAO constatés	DIV	
84500000	Dons et libéralités obtenus	DIV	
84600000	Abandons de créances obtenus	DIV	
84800000	Transferts de charges HAO	DIV	
84900000	Reprises des charges provisionnées HAO	DIV	
85100000	Dotations aux provisions réglementées	DIV	
85200000	Dotations aux amortissements HAO	DIV	
85300000	Dotations aux provisions pour dépréciation HAO	DIV	
85400000	Dotations aux provisions pour risques et charges HAO	DIV	
85800000	Autres dotations HAO	DIV	
86100000	Reprises de provisions réglementées	DIV	
86200000	Reprises d'amortissements (HAO)	DIV	
86300000	Reprises de provisions pour dépréciation HAO	DIV	
86400000	Reprises de provisions pour risques et charges HAO	DIV	
86500000	Reprises de subventions d'investissement	DIV	
86800000	Autres reprises HAO	DIV	
87100000	Participation légale aux bénéfices	DIV	
87400000	Participation contractuelle aux bénéfices	DIV	
87800000	Autres participations (des travailleurs)	DIV	
88100000	Subventions d'équilibre - État	DIV	
88400000	Subventions d'équilibre - Collectivités publiques	DIV	
88600000	Subventions d'équilibre - Groupe	DIV	
88800000	Subventions d'équilibre - Autres	DIV	
89100000	Impôts sur les bénéfices de l'exercice	DIV	
89110000	Activités exercées dans l'État	DIV	
89120000	Activités exercées dans les autres États de la Région	DIV	
89130000	Activités exercées hors Région	DIV	
89200000	Rappel d'impôts sur résultats antérieurs	DIV	
89500000	Impôt minimum forfaitaire IMF	DIV	
89900000	Dégrèvements et annulations d'impôts sur résultats antérieur	DIV	
89910000	Dégrèvements	DIV	
89940000	Annulations pour pertes rétroactives	DIV	
